farmers_ahead,total_qty_ahead_kg,quantity_kg,crop_type,produce_quality_grade,active_counters,staff_present,center_daily_capacity_quintals,vehicle_type,slot_hour,day_of_week,is_harvest_peak_season,weather_condition,actual_wait_time_minutes
8,8200,2220,Paddy,Grade A,3,5,1500,Tractor Trolley,13,0,0,Clear,45.2
15,20100,710,Paddy,Grade A,2,4,1000,Tractor Trolley,12,5,1,Clear,110.6
7,6900,620,Paddy,Grade A,2,5,1000,Tractor Trolley,13,0,0,Clear,41.7
15,21500,3410,Maize,Grade C (High Moisture),2,5,500,Tractor Trolley,11,5,1,Clear,133.0
3,2800,3110,Wheat,Grade A,5,12,2500,Tractor Trolley,14,2,0,Overcast,13.7
11,12400,1050,Cotton,Grade A,2,3,1000,Tractor Trolley,12,4,0,Clear,133.9
8,9100,900,Cotton,Grade C (High Moisture),4,4,1000,Tractor Trolley,12,4,1,Light Rain,92.1
5,6400,1180,Wheat,Grade C (High Moisture),3,3,500,Mini Truck (Pickup),14,4,0,Overcast,43.3
7,6800,580,Cotton,Grade B,3,12,1000,Mini Truck (Pickup),11,5,1,Clear,43.5
2,2700,3050,Wheat,Grade A,1,2,1500,Tractor Trolley,9,0,0,Clear,23.2
7,9200,2010,Wheat,Grade B,4,7,500,Mini Truck (Pickup),11,0,0,Light Rain,47.3
4,4100,1290,Chana,Grade A,1,2,2500,Tractor Trolley,14,0,1,Overcast,61.7
6,6100,750,Chana,Grade B,3,9,2500,Truck (6-Wheeler),11,6,0,Clear,32.3
7,7200,2780,Maize,Grade A,3,4,1000,Tractor Trolley,10,2,0,Clear,46.5
1,1400,1600,Paddy,Grade A,5,12,1000,Mini Truck (Pickup),13,4,0,Clear,14.2
9,10500,1410,Wheat,Grade A,4,8,1500,Tractor Trolley,11,1,1,Overcast,41.8
3,4000,820,Mustard,Grade A,2,6,1500,Truck (6-Wheeler),15,5,0,Clear,26.5
6,8600,1370,Paddy,Grade B,4,9,4000,Mini Truck (Pickup),13,5,0,Clear,32.4
7,8900,470,Wheat,Grade B,1,2,1000,Tractor Trolley,10,2,0,Clear,101.7
2,2400,3820,Paddy,Grade B,2,6,2500,Tractor Trolley,14,1,0,Clear,18.1
9,10600,1520,Wheat,Grade A,4,11,1500,Tractor Trolley,10,0,1,Clear,30.1
9,11900,810,Soybean,Grade B,3,12,1000,Tractor Trolley,10,4,1,Clear,55.7
4,4600,1690,Wheat,Grade A,2,3,2500,Tractor Trolley,14,0,0,Clear,29.9
11,14900,2590,Mustard,Grade A,2,7,2500,Tractor Trolley,13,4,0,Clear,65.5
6,6400,1650,Paddy,Grade A,2,4,1500,Tractor Trolley,9,0,1,Clear,45.0
11,10500,850,Cotton,Grade A,4,9,1500,Tractor Trolley,11,3,1,Clear,55.3
1,1200,2670,Cotton,Grade A,4,6,500,Mini Truck (Pickup),14,3,0,Clear,8.8
5,7400,480,Wheat,Grade A,3,5,500,Tractor Trolley,13,3,0,Clear,29.0
4,4000,1110,Chana,Grade C (High Moisture),1,6,1500,Tractor Trolley,10,1,0,Clear,61.9
8,11300,1640,Maize,Grade C (High Moisture),2,7,500,Tractor Trolley,14,3,1,Heavy Rain,99.1
10,11300,1090,Chana,Grade A,3,7,1000,Tractor Trolley,15,1,1,Overcast,42.5
11,11500,1680,Soybean,Grade A,3,5,4000,Tractor Trolley,10,2,1,Clear,82.5
6,7300,820,Cotton,Grade A,4,11,1500,Tractor Trolley,11,2,0,Clear,25.5
2,3000,410,Chana,Grade A,5,12,2500,Tractor Trolley,14,1,0,Light Rain,20.0
8,10600,1080,Wheat,Grade A,2,8,500,Tractor Trolley,11,3,1,Clear,45.3
10,9400,1210,Wheat,Grade A,4,12,1000,Bullock Cart,10,1,1,Clear,41.1
3,3100,630,Wheat,Grade B,4,11,1000,Truck (6-Wheeler),9,1,0,Clear,13.9
6,7200,510,Paddy,Grade B,3,3,4000,Mini Truck (Pickup),12,0,0,Clear,44.7
5,7100,1240,Paddy,Grade A,3,6,4000,Tractor Trolley,13,4,0,Overcast,27.7
13,17000,720,Wheat,Grade B,5,8,1000,Tractor Trolley,12,6,1,Clear,59.5
2,2900,530,Maize,Grade B,2,2,2500,Mini Truck (Pickup),14,2,0,Clear,22.5
6,6400,1080,Paddy,Grade A,2,7,1500,Truck (6-Wheeler),11,1,0,Clear,42.1
6,7500,350,Paddy,Grade A,3,8,1000,Tractor Trolley,11,4,0,Light Rain,36.1
9,12000,1190,Cotton,Grade C (High Moisture),3,3,2500,Bullock Cart,12,4,1,Clear,129.1
7,9100,560,Wheat,Grade B,3,5,1000,Mini Truck (Pickup),13,3,1,Overcast,54.5
7,9100,910,Maize,Grade A,3,4,1000,Truck (6-Wheeler),9,0,0,Clear,51.8
10,11800,1400,Wheat,Grade B,2,5,1500,Tractor Trolley,11,0,0,Light Rain,67.1
7,7200,2530,Sugarcane,Grade A,1,4,1000,Tractor Trolley,12,3,0,Clear,73.2
5,5500,1120,Maize,Grade B,3,8,1000,Tractor Trolley,15,5,0,Clear,24.1
3,4200,1790,Wheat,Grade A,3,9,4000,Mini Truck (Pickup),9,2,1,Clear,16.0
5,6900,1040,Wheat,Grade A,2,2,1500,Mini Truck (Pickup),14,0,1,Clear,43.2
18,25400,850,Maize,Grade B,3,5,1500,Truck (6-Wheeler),11,4,1,Clear,150.3
2,2800,850,Mustard,Grade B,3,11,1000,Mini Truck (Pickup),16,4,0,Overcast,13.1
17,23100,970,Mustard,Grade A,2,11,2500,Tractor Trolley,12,0,1,Overcast,117.9
8,8500,1410,Maize,Grade A,3,4,1500,Tractor Trolley,13,0,1,Clear,59.8
0,0,940,Wheat,Grade A,3,9,1500,Tractor Trolley,14,3,0,Clear,3.0
7,7100,1670,Paddy,Grade A,2,4,1500,Truck (6-Wheeler),13,3,1,Clear,68.6
5,5300,710,Wheat,Grade A,3,8,4000,Tractor Trolley,11,0,0,Light Rain,38.0
7,9000,470,Soybean,Grade B,4,12,1500,Mini Truck (Pickup),12,0,0,Clear,31.4
7,8700,1810,Mustard,Grade A,3,8,500,Tractor Trolley,12,5,0,Clear,40.2
7,8000,1210,Paddy,Grade B,2,8,1000,Mini Truck (Pickup),16,0,0,Clear,38.7
9,12700,580,Wheat,Grade B,5,12,4000,Tractor Trolley,10,3,1,Clear,36.9
12,15600,2300,Paddy,Grade A,2,3,1000,Mini Truck (Pickup),11,3,0,Overcast,100.3
13,16400,750,Paddy,Grade B,2,9,1500,Bullock Cart,11,4,1,Clear,102.8
4,3800,1060,Mustard,Grade C (High Moisture),2,5,4000,Tractor Trolley,11,3,1,Clear,49.8
5,7300,1710,Mustard,Grade A,3,8,1000,Tractor Trolley,12,0,0,Clear,29.5
6,8900,1280,Soybean,Grade C (High Moisture),3,11,2500,Truck (6-Wheeler),12,2,0,Heavy Rain,65.3
8,11600,710,Paddy,Grade B,3,5,1000,Tractor Trolley,10,1,1,Clear,64.2
4,3800,730,Wheat,Grade B,3,12,500,Tractor Trolley,9,2,1,Clear,19.8
4,3900,1040,Mustard,Grade A,3,8,1500,Tractor Trolley,9,5,1,Overcast,20.3
10,9200,1440,Maize,Grade B,2,3,1500,Bullock Cart,11,1,1,Clear,136.4
14,14500,1710,Cotton,Grade A,4,5,500,Tractor Trolley,13,0,0,Clear,85.1
3,2800,940,Maize,Grade B,3,9,1500,Tractor Trolley,15,4,1,Clear,11.4
6,8800,1090,Paddy,Grade B,3,8,1500,Tractor Trolley,12,3,0,Clear,28.6
9,11300,1670,Cotton,Grade A,2,3,2500,Truck (6-Wheeler),10,1,1,Clear,145.1
9,9200,1270,Paddy,Grade A,2,4,1500,Tractor Trolley,14,3,1,Clear,66.6
5,5200,1040,Wheat,Grade A,3,5,2500,Tractor Trolley,8,2,1,Overcast,31.8
2,2100,1360,Wheat,Grade A,2,6,1000,Tractor Trolley,8,3,0,Clear,11.4
4,5500,340,Wheat,Grade B,3,2,1500,Tractor Trolley,9,1,0,Overcast,26.4
10,12700,1650,Mustard,Grade A,3,3,1500,Tractor Trolley,12,4,0,Clear,73.0
15,19200,670,Paddy,Grade A,3,3,1500,Mini Truck (Pickup),10,4,1,Clear,98.5
5,5300,1830,Cotton,Grade A,3,11,1500,Bullock Cart,9,4,1,Clear,29.0
4,3800,1520,Soybean,Grade B,2,3,500,Tractor Trolley,13,2,0,Overcast,57.7
1,1400,2660,Wheat,Grade A,2,4,2500,Tractor Trolley,9,2,0,Clear,10.9
5,6300,2680,Paddy,Grade C (High Moisture),2,4,1000,Tractor Trolley,12,6,0,Clear,54.0
5,6700,2090,Maize,Grade B,2,2,1500,Tractor Trolley,11,5,1,Overcast,68.7
3,3100,810,Wheat,Grade B,2,3,4000,Mini Truck (Pickup),14,0,1,Clear,35.0
7,8700,940,Wheat,Grade A,1,3,1500,Tractor Trolley,10,3,0,Overcast,67.2
7,9700,810,Paddy,Grade A,3,6,4000,Tractor Trolley,13,3,0,Light Rain,50.8
2,2400,1350,Wheat,Grade A,3,4,1500,Tractor Trolley,16,1,0,Clear,8.0
7,9200,2240,Chana,Grade A,2,9,1000,Tractor Trolley,10,0,0,Clear,36.9
11,15200,1950,Maize,Grade B,3,7,1000,Tractor Trolley,11,1,1,Clear,57.9
4,5200,870,Mustard,Grade A,3,5,1000,Tractor Trolley,17,0,1,Heavy Rain,56.0
6,7000,1910,Soybean,Grade A,1,2,2500,Mini Truck (Pickup),13,0,0,Overcast,91.3
5,5800,2040,Maize,Grade B,4,11,1000,Tractor Trolley,9,3,0,Clear,15.5
9,11600,1690,Wheat,Grade A,2,3,500,Bullock Cart,12,3,0,Clear,86.9
3,2700,950,Soybean,Grade A,3,9,1000,Tractor Trolley,16,3,0,Overcast,15.3
6,7500,730,Cotton,Grade A,4,7,4000,Mini Truck (Pickup),11,4,0,Clear,38.5
6,5900,2460,Maize,Grade B,4,4,2500,Tractor Trolley,12,4,0,Clear,39.1
2,1900,1810,Soybean,Grade A,2,3,4000,Tractor Trolley,17,4,0,Light Rain,33.4
15,15600,970,Paddy,Grade B,1,2,2500,Tractor Trolley,12,2,1,Clear,240.0
13,14900,570,Wheat,Grade A,3,12,1500,Tractor Trolley,10,5,1,Overcast,57.6
5,5800,3020,Wheat,Grade A,5,11,500,Tractor Trolley,15,4,0,Clear,12.6
8,10500,820,Paddy,Grade B,3,8,500,Tractor Trolley,11,0,1,Clear,47.5
9,11100,490,Maize,Grade B,2,3,1000,Tractor Trolley,10,3,0,Light Rain,103.5
3,4000,2080,Soybean,Grade B,3,11,500,Mini Truck (Pickup),8,1,1,Clear,15.9
5,6700,1820,Wheat,Grade B,3,4,2500,Tractor Trolley,14,4,0,Light Rain,40.8
15,19300,670,Cotton,Grade A,3,8,2500,Tractor Trolley,10,4,1,Clear,82.2
5,5400,970,Paddy,Grade B,4,6,1000,Tractor Trolley,9,4,1,Clear,27.1
7,6900,720,Wheat,Grade B,4,6,2500,Tractor Trolley,14,1,1,Overcast,39.3
7,7900,1550,Wheat,Grade B,4,3,1500,Truck (6-Wheeler),13,5,0,Clear,45.1
10,14800,790,Paddy,Grade C (High Moisture),4,10,4000,Tractor Trolley,12,1,1,Clear,56.0
12,15600,1790,Chana,Grade A,2,6,500,Tractor Trolley,11,2,1,Clear,71.1
6,7000,3370,Paddy,Grade B,2,5,1500,Tractor Trolley,14,5,0,Clear,33.4
9,12700,540,Cotton,Grade C (High Moisture),3,5,500,Mini Truck (Pickup),13,3,1,Overcast,96.5
1,1400,600,Mustard,Grade A,3,6,1500,Tractor Trolley,14,3,0,Clear,4.4
9,8300,600,Paddy,Grade A,1,3,1500,Mini Truck (Pickup),10,0,1,Clear,95.2
6,6500,1380,Sugarcane,Grade B,2,3,1000,Truck (6-Wheeler),12,3,0,Clear,86.2
10,13900,360,Chana,Grade A,1,2,1500,Mini Truck (Pickup),11,5,1,Clear,135.0
1,1300,2020,Wheat,Grade B,3,6,1500,Mini Truck (Pickup),17,2,0,Clear,10.0
6,7700,290,Paddy,Grade A,2,8,1500,Mini Truck (Pickup),16,4,0,Clear,30.2
14,20400,1650,Paddy,Grade B,1,2,1000,Tractor Trolley,10,4,1,Clear,236.7
10,14500,770,Paddy,Grade A,2,4,1500,Tractor Trolley,11,1,0,Clear,65.3
7,8800,1890,Wheat,Grade A,4,8,4000,Mini Truck (Pickup),12,1,0,Clear,27.8
6,6000,810,Cotton,Grade B,4,5,500,Tractor Trolley,12,3,1,Clear,56.9
10,10500,730,Cotton,Grade B,3,6,1500,Mini Truck (Pickup),12,0,0,Clear,69.5
14,18500,2020,Wheat,Grade A,2,11,1000,Tractor Trolley,12,4,0,Clear,67.0
4,4300,1740,Wheat,Grade A,3,6,1000,Tractor Trolley,15,0,0,Heavy Rain,47.4
10,11200,1560,Soybean,Grade B,4,7,500,Mini Truck (Pickup),10,0,1,Clear,61.7
3,4000,1300,Wheat,Grade B,4,5,2500,Tractor Trolley,15,1,0,Overcast,19.1
9,12100,500,Wheat,Grade B,3,6,1500,Bullock Cart,14,4,0,Clear,49.5
12,13700,1140,Paddy,Grade B,3,12,1000,Truck (6-Wheeler),12,2,1,Clear,72.2
2,2700,840,Sugarcane,Grade A,1,2,1000,Mini Truck (Pickup),15,0,0,Clear,28.8
4,5300,720,Wheat,Grade B,3,10,1000,Tractor Trolley,14,4,0,Clear,18.2
11,12900,1970,Mustard,Grade B,3,7,2500,Bullock Cart,13,3,1,Clear,76.9
3,3800,2450,Maize,Grade A,2,2,1000,Tractor Trolley,16,0,0,Heavy Rain,48.7
9,12300,1040,Wheat,Grade A,5,5,500,Tractor Trolley,12,0,1,Clear,36.8
9,12900,1460,Mustard,Grade B,4,4,2500,Tractor Trolley,14,2,1,Clear,61.3
16,15800,870,Paddy,Grade B,4,5,500,Tractor Trolley,13,3,0,Clear,87.8
9,10600,1250,Mustard,Grade B,2,7,1000,Tractor Trolley,10,3,1,Overcast,75.0
10,13000,380,Mustard,Grade B,2,3,2500,Tractor Trolley,10,6,0,Overcast,118.8
4,5800,1230,Cotton,Grade A,3,2,2500,Truck (6-Wheeler),17,4,0,Clear,41.4
6,8300,600,Wheat,Grade B,3,12,1500,Mini Truck (Pickup),14,5,1,Clear,26.9
12,15700,610,Maize,Grade B,3,5,2500,Mini Truck (Pickup),12,4,0,Overcast,76.2
10,13800,500,Paddy,Grade A,2,4,1000,Tractor Trolley,10,3,1,Clear,80.8
10,14300,1470,Wheat,Grade A,4,7,500,Tractor Trolley,13,1,1,Heavy Rain,78.8
5,7000,1560,Wheat,Grade B,5,9,4000,Tractor Trolley,15,0,0,Clear,15.0
8,8000,2050,Cotton,Grade C (High Moisture),3,7,2500,Mini Truck (Pickup),12,3,1,Clear,67.3
5,5200,620,Mustard,Grade A,2,8,4000,Truck (6-Wheeler),17,5,1,Clear,42.0
15,22400,1190,Wheat,Grade A,2,7,500,Bullock Cart,10,5,1,Clear,103.4
4,5800,880,Cotton,Grade A,2,6,1000,Bullock Cart,10,6,0,Light Rain,46.0
3,3700,2100,Wheat,Grade A,2,2,1000,Tractor Trolley,14,3,0,Overcast,27.4
5,4700,2370,Mustard,Grade A,4,9,2500,Tractor Trolley,11,0,1,Overcast,33.5
8,7400,1300,Wheat,Grade B,1,2,1000,Tractor Trolley,10,5,0,Clear,112.4
6,8700,610,Mustard,Grade B,1,3,4000,Tractor Trolley,12,3,0,Clear,77.1
16,18200,450,Paddy,Grade B,2,9,1000,Mini Truck (Pickup),13,4,1,Clear,106.3
12,14400,970,Chana,Grade A,2,9,1000,Truck (6-Wheeler),11,4,0,Clear,75.4
4,5500,690,Wheat,Grade B,2,2,4000,Tractor Trolley,9,0,0,Clear,39.7
6,7400,380,Paddy,Grade B,2,5,500,Bullock Cart,13,0,1,Overcast,60.4
12,17900,1250,Wheat,Grade A,5,11,1000,Tractor Trolley,12,4,1,Clear,36.2
9,11300,1630,Chana,Grade A,3,7,1000,Mini Truck (Pickup),11,0,0,Clear,33.8
4,4100,1970,Soybean,Grade B,3,7,1000,Tractor Trolley,8,2,0,Clear,17.2
12,12300,2430,Wheat,Grade B,4,12,4000,Tractor Trolley,11,5,0,Overcast,44.2
14,18400,1160,Mustard,Grade B,3,6,2500,Mini Truck (Pickup),12,2,1,Light Rain,111.9
2,2000,2990,Maize,Grade A,2,5,1000,Tractor Trolley,9,0,1,Clear,11.5
4,4800,1210,Cotton,Grade B,3,5,1000,Tractor Trolley,14,0,1,Clear,43.8
13,18000,250,Cotton,Grade A,2,4,1500,Mini Truck (Pickup),10,2,1,Overcast,134.5
13,19000,600,Wheat,Grade B,4,7,2500,Tractor Trolley,13,2,1,Clear,66.9
1,1500,1110,Wheat,Grade B,3,4,1500,Bullock Cart,14,0,1,Overcast,15.4
11,15300,820,Soybean,Grade A,4,10,2500,Bullock Cart,10,2,1,Overcast,58.9
12,15700,740,Soybean,Grade A,3,7,2500,Tractor Trolley,11,2,1,Clear,70.7
3,4000,1480,Mustard,Grade A,2,3,1500,Tractor Trolley,11,2,0,Clear,42.1
4,5700,4940,Paddy,Grade A,4,8,500,Tractor Trolley,13,3,0,Clear,23.6
9,8600,450,Paddy,Grade A,1,3,500,Tractor Trolley,10,4,1,Clear,101.9
6,7600,930,Mustard,Grade B,2,5,1500,Tractor Trolley,12,6,0,Heavy Rain,80.1
11,12200,560,Soybean,Grade B,4,8,2500,Tractor Trolley,12,0,1,Clear,69.2
4,5500,550,Soybean,Grade B,2,8,1000,Bullock Cart,11,4,0,Clear,35.5
7,7600,1010,Maize,Grade B,1,3,4000,Tractor Trolley,15,2,1,Overcast,85.7
10,14300,840,Mustard,Grade B,5,12,1000,Tractor Trolley,12,6,1,Clear,44.6
10,13400,3240,Wheat,Grade C (High Moisture),2,6,500,Mini Truck (Pickup),11,0,0,Clear,68.9
5,6000,720,Wheat,Grade A,3,9,1500,Mini Truck (Pickup),8,5,0,Clear,16.7
8,11900,1070,Soybean,Grade B,3,3,1000,Truck (6-Wheeler),12,1,1,Clear,92.0
3,3400,1240,Cotton,Grade A,2,3,1500,Mini Truck (Pickup),14,4,0,Clear,37.5
8,11100,700,Wheat,Grade A,2,8,1500,Tractor Trolley,11,5,1,Overcast,47.7
9,9300,1630,Wheat,Grade B,2,5,4000,Truck (6-Wheeler),12,0,0,Clear,65.2
7,6600,2560,Mustard,Grade A,2,7,2500,Tractor Trolley,14,6,1,Overcast,53.9
14,13700,560,Wheat,Grade B,5,12,2500,Mini Truck (Pickup),13,3,1,Overcast,48.1
8,7900,570,Wheat,Grade A,2,5,1000,Tractor Trolley,13,1,0,Clear,40.6
1,900,620,Cotton,Grade A,4,8,1500,Tractor Trolley,14,2,0,Clear,10.7
7,7500,1360,Mustard,Grade B,4,5,1500,Mini Truck (Pickup),12,0,1,Clear,48.3
9,13100,710,Mustard,Grade A,3,10,1000,Tractor Trolley,11,4,1,Clear,42.4
10,12500,2480,Wheat,Grade A,2,4,1000,Tractor Trolley,13,0,0,Overcast,66.6
4,5700,1010,Mustard,Grade A,3,8,1000,Mini Truck (Pickup),15,2,0,Clear,19.9
4,4800,2110,Wheat,Grade C (High Moisture),3,4,2500,Tractor Trolley,14,4,0,Clear,36.5
8,9300,1600,Paddy,Grade A,3,8,500,Tractor Trolley,12,5,0,Clear,31.0
3,3500,4520,Maize,Grade A,3,5,1000,Tractor Trolley,9,1,0,Clear,18.3
4,4900,1250,Mustard,Grade B,1,2,4000,Mini Truck (Pickup),14,1,0,Heavy Rain,90.2
5,5700,930,Soybean,Grade B,2,5,500,Tractor Trolley,11,3,1,Clear,45.9
6,8800,3600,Mustard,Grade B,2,3,500,Tractor Trolley,12,5,0,Clear,74.4
11,14000,750,Cotton,Grade A,2,2,1000,Tractor Trolley,10,1,0,Clear,125.3
0,0,1260,Wheat,Grade C (High Moisture),2,5,1500,Tractor Trolley,16,6,0,Light Rain,14.2
9,10800,2410,Paddy,Grade B,2,6,1500,Tractor Trolley,11,5,1,Clear,63.0
9,12800,1180,Wheat,Grade A,3,7,500,Mini Truck (Pickup),13,2,0,Clear,34.1
6,6900,1710,Wheat,Grade A,1,2,1500,Tractor Trolley,10,2,0,Clear,70.8
3,4100,940,Sugarcane,Grade C (High Moisture),3,5,1500,Tractor Trolley,13,2,0,Clear,29.6
9,9400,330,Paddy,Grade B,2,2,2500,Tractor Trolley,11,0,0,Light Rain,106.3
10,13800,1540,Soybean,Grade B,3,10,500,Bullock Cart,10,5,0,Clear,55.4
9,9600,520,Mustard,Grade B,3,11,4000,Mini Truck (Pickup),11,2,0,Clear,47.9
7,8600,2040,Maize,Grade B,4,12,1500,Tractor Trolley,17,2,1,Clear,24.2
9,8100,380,Cotton,Grade A,2,6,4000,Tractor Trolley,11,2,1,Clear,73.1
13,12000,810,Cotton,Grade A,4,5,500,Mini Truck (Pickup),10,5,1,Clear,88.4
6,7000,1200,Paddy,Grade B,1,4,500,Bullock Cart,11,3,0,Light Rain,102.0
7,6400,1500,Wheat,Grade A,1,3,1000,Tractor Trolley,12,4,0,Clear,65.6
12,17600,1750,Mustard,Grade A,2,4,1000,Mini Truck (Pickup),10,4,0,Clear,95.3
7,6600,600,Paddy,Grade B,3,5,500,Bullock Cart,11,4,0,Clear,61.0
9,12900,430,Wheat,Grade A,3,4,500,Tractor Trolley,12,3,0,Clear,54.7
4,4600,840,Mustard,Grade A,5,12,1000,Tractor Trolley,13,1,0,Clear,20.3
3,3700,1180,Wheat,Grade B,2,3,1500,Tractor Trolley,14,1,0,Clear,29.1
10,9600,630,Chana,Grade B,2,7,1500,Truck (6-Wheeler),10,3,0,Light Rain,85.3
0,0,1550,Chana,Grade A,2,4,500,Mini Truck (Pickup),17,4,1,Clear,4.5
13,15800,720,Soybean,Grade B,2,6,1000,Tractor Trolley,11,3,1,Clear,102.1
3,4300,920,Paddy,Grade B,2,7,2500,Tractor Trolley,10,5,0,Overcast,23.8
10,11700,2890,Wheat,Grade A,3,7,1000,Tractor Trolley,10,2,0,Overcast,42.1
3,4200,1140,Chana,Grade A,3,5,1000,Tractor Trolley,9,5,1,Clear,18.6
3,3400,3880,Paddy,Grade A,1,2,4000,Tractor Trolley,9,5,0,Overcast,44.3
9,10100,2410,Chana,Grade B,3,8,1500,Tractor Trolley,14,1,1,Clear,42.5
9,12100,440,Chana,Grade A,3,3,4000,Tractor Trolley,11,1,1,Clear,62.8
6,6000,860,Soybean,Grade B,3,8,500,Tractor Trolley,8,1,0,Clear,29.3
1,1100,1180,Paddy,Grade B,3,7,1500,Mini Truck (Pickup),9,5,0,Clear,9.4
6,6700,1230,Paddy,Grade A,1,4,1000,Mini Truck (Pickup),14,0,1,Clear,63.1
4,4000,1840,Soybean,Grade A,3,4,1000,Mini Truck (Pickup),15,4,0,Overcast,33.6
2,2700,650,Paddy,Grade A,2,3,1000,Bullock Cart,15,4,1,Clear,26.6
5,4700,5000,Wheat,Grade A,3,10,1500,Tractor Trolley,11,4,0,Overcast,21.5
6,6100,1750,Cotton,Grade B,1,2,1000,Tractor Trolley,8,2,1,Clear,130.1
4,6000,530,Chana,Grade B,3,3,1500,Tractor Trolley,14,2,0,Clear,23.8
18,18800,320,Mustard,Grade A,2,6,1000,Tractor Trolley,11,5,0,Light Rain,114.3
2,2000,1470,Cotton,Grade A,3,10,1500,Bullock Cart,15,5,1,Clear,13.9
7,9500,1570,Wheat,Grade A,1,2,1500,Tractor Trolley,11,0,1,Clear,95.2
12,15600,3170,Cotton,Grade C (High Moisture),3,5,2500,Tractor Trolley,10,3,0,Clear,116.0
14,16200,1100,Sugarcane,Grade B,3,7,4000,Tractor Trolley,11,0,0,Clear,70.2
6,5600,1370,Wheat,Grade B,2,5,1000,Tractor Trolley,11,5,0,Overcast,43.2
2,1900,760,Cotton,Grade A,4,7,1500,Tractor Trolley,16,4,0,Overcast,9.2
4,5900,1820,Soybean,Grade A,2,7,1000,Tractor Trolley,16,0,0,Clear,24.0
2,2500,690,Maize,Grade A,2,4,500,Tractor Trolley,8,4,0,Light Rain,24.9
5,6700,630,Mustard,Grade C (High Moisture),4,4,500,Tractor Trolley,9,0,1,Clear,46.4
17,23200,930,Mustard,Grade B,2,4,1500,Tractor Trolley,10,1,1,Clear,171.6
11,14600,1430,Paddy,Grade B,3,5,500,Mini Truck (Pickup),11,6,0,Clear,68.7
8,11900,440,Paddy,Grade B,4,9,4000,Tractor Trolley,11,1,0,Clear,36.3
6,8400,660,Maize,Grade A,2,5,2500,Mini Truck (Pickup),11,0,0,Overcast,35.1
4,5900,3030,Maize,Grade A,3,6,1500,Tractor Trolley,16,1,0,Overcast,17.2
6,7700,1520,Soybean,Grade A,2,6,1000,Tractor Trolley,16,2,1,Clear,38.7
7,8900,1260,Soybean,Grade A,3,7,500,Mini Truck (Pickup),11,0,0,Clear,36.9
12,12000,2750,Cotton,Grade A,3,6,1000,Truck (6-Wheeler),11,0,1,Clear,98.1
3,3400,810,Cotton,Grade A,2,2,1000,Tractor Trolley,10,0,0,Overcast,38.5
9,8200,1730,Maize,Grade B,4,5,2500,Mini Truck (Pickup),11,2,0,Clear,49.2
4,4500,770,Mustard,Grade C (High Moisture),5,11,500,Mini Truck (Pickup),11,4,0,Clear,20.5
2,2300,740,Mustard,Grade C (High Moisture),3,6,2500,Tractor Trolley,17,0,1,Overcast,23.8
7,7100,2850,Maize,Grade A,2,2,1000,Tractor Trolley,12,1,0,Clear,62.9
